,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,2,ZA,1583046676,77,-34.42,19.23,297.04,4.92
1,Codrington,100,AU,1583046800,82,-38.27,141.97,290.18,10.17
2,Morón,0,AR,1583046771,83,-34.65,-58.62,299.15,2.6
3,Klichka,76,RU,1583046771,86,50.45,118.0,263.56,2.34
4,George Town,20,MY,1583046771,59,5.41,100.34,306.15,4.1
5,Bluff,60,NZ,1583046772,58,-46.6,168.33,292.59,1.34
6,Hobart,75,AU,1583046772,46,-42.88,147.33,295.15,3.6
7,Tromsø,20,NO,1583046772,78,69.65,18.96,264.15,4.6
8,Cabo San Lucas,5,MX,1583046772,55,22.89,-109.91,291.48,2.6
9,Vaini,20,TO,1583046772,78,-21.2,-175.2,301.15,3.6
10,Butaritari,96,KI,1583046773,81,3.07,172.79,301.47,10.21
11,Aksarka,100,RU,1583046773,95,66.56,67.8,272.09,11.29
12,Benguela,44,AO,1583046773,74,-12.58,13.41,299.15,2.6
13,Rikitea,100,PF,1583046773,80,-23.12,-134.97,299.88,6.54
14,Champerico,0,GT,1583046773,74,14.3,-91.92,296.78,1.75
15,Busselton,47,AU,1583046774,27,-33.65,115.33,299.82,8.61
16,Hasaki,75,JP,1583046774,54,35.73,140.83,292.04,4.6
17,Hilo,75,US,1583046774,82,19.73,-155.09,292.15,3.1
18,Saint George,1,US,1583046775,49,37.1,-113.58,283.15,2.79
19,Sabang,4,ID,1583046775,75,5.89,95.32,301.49,7.54
20,Timbiras,100,BR,1583046775,98,-4.26,-43.94,296.12,0.84
21,Te Anau,17,NZ,1583046645,68,-45.42,167.72,290.71,2.74
22,Bengkulu,99,ID,1583046775,56,-3.8,102.27,305.33,2.43
23,Hambantota,40,LK,1583046776,66,6.12,81.12,305.15,5.1
24,Yancheng,96,CN,1583046777,77,33.39,120.13,283.31,4.05
25,Port Lincoln,100,AU,1583046777,82,-34.73,135.87,291.89,7.65
26,Albany,40,US,1583046623,66,42.6,-73.97,266.48,2.6
27,Mount Gambier,90,AU,1583046777,68,-37.83,140.77,293.15,6.2
28,Lompoc,75,US,1583046778,71,34.64,-120.46,284.15,6.7
29,Avarua,0,CK,1583046778,88,-21.21,-159.78,299.15,2.1
30,Lodwar,0,KE,1583046778,36,3.12,35.6,306.27,4.83
31,Kathu,20,TH,1583046511,41,7.92,98.33,306.15,4.6
32,Punta Arenas,40,CL,1583046779,82,-53.15,-70.92,286.15,7.2
33,Vostok,100,RU,1583046779,88,46.49,135.88,269.1,1.9
34,Nikolskoye,100,RU,1583046779,92,59.7,30.79,272.04,3.0
35,Kaitangata,41,NZ,1583046779,77,-46.28,169.85,288.71,6.5
36,New Norfolk,75,AU,1583046780,46,-42.78,147.06,295.15,3.6
37,Saint-François,75,FR,1583046780,70,46.42,3.91,280.93,3.1
38,Järvenpää,90,FI,1583046780,97,60.47,25.09,273.71,4.1
39,Hong Kong,20,HK,1583046709,57,22.29,114.16,302.04,3.1
40,Nannilam,11,IN,1583046781,42,10.88,79.61,304.95,4.1
41,Pisco,20,PE,1583046781,94,-13.7,-76.22,295.15,4.6
42,Raudeberg,75,NO,1583046782,60,61.99,5.14,277.15,9.3
43,Kahului,75,US,1583046496,77,20.89,-156.47,292.15,10.83
44,Klaksvík,100,FO,1583046783,80,62.23,-6.59,277.15,11.8
45,Port Elizabeth,0,ZA,1583046783,68,-33.92,25.57,294.15,3.6
46,Maloma,75,PH,1583046783,62,15.11,120.06,306.15,4.1
47,Ushuaia,40,AR,1583046783,87,-54.8,-68.3,284.15,4.1
48,Castro,45,BR,1583046658,96,-24.79,-50.01,286.24,2.35
49,Port Alfred,0,ZA,1583046785,77,-33.59,26.89,294.82,2.24
50,Paraná,0,AR,1583046786,85,-31.73,-60.52,297.04,1.78
51,Chokurdakh,0,RU,1583046786,85,70.63,147.92,253.01,2.53
52,Mar del Plata,75,AR,1583046787,100,-38.0,-57.56,293.15,1.5
53,Cape Town,0,ZA,1583046362,72,-33.93,18.42,297.04,2.1
54,Puerto Escondido,0,MX,1583046787,80,15.85,-97.07,293.4,1.43
55,Tezu,29,IN,1583046787,26,27.92,96.17,300.17,1.98
56,Yangi Marg`ilon,32,UZ,1583046788,62,40.43,71.72,285.15,1.06
57,Saugor,79,IN,1583046788,36,23.83,78.72,296.77,3.44
58,Auki,52,SB,1583046788,63,-8.77,160.7,303.62,0.94
59,Philadelphia,75,US,1583046656,46,39.95,-75.16,272.59,3.1
60,Donskoye,75,RU,1583046789,94,45.46,41.97,273.15,4.0
61,Carnarvon,12,AU,1583046789,52,-24.87,113.63,304.15,7.2
62,Selty,98,RU,1583046789,92,57.31,52.13,268.87,4.87
63,Saldanha,0,ZA,1583046789,49,-33.01,17.94,296.15,3.6
64,Lavrentiya,0,RU,1583046790,89,65.58,-171.0,251.45,3.63
65,Mogadishu,75,SO,1583046772,62,2.04,45.34,302.15,6.2
66,Puerto Ayora,11,EC,1583046739,100,-0.74,-90.35,299.82,3.13
67,Ascension,1,US,1583046790,93,30.22,-90.9,285.15,2.75
68,Ribeira Grande,87,PT,1583046791,86,38.52,-28.7,287.88,10.1
69,Ponta Delgada,75,PT,1583046791,82,37.73,-25.67,290.15,9.3
70,Kastamonu Province,75,TR,1583046791,75,41.5,33.67,273.15,1.0
71,Barrow,1,US,1583046791,82,71.29,-156.79,245.15,2.1
72,Saint-Augustin,8,CA,1583046791,91,51.23,-58.65,262.27,2.96
73,Lebu,0,CL,1583046792,94,-37.62,-73.65,283.34,0.43
74,Tura,0,IN,1583046792,24,25.52,90.22,306.46,0.55
75,Huarmey,100,PE,1583046792,80,-10.07,-78.15,295.55,1.22
76,Mataura,52,NZ,1583046792,58,-46.19,168.86,292.59,1.34
77,Ozark,1,US,1583046793,61,37.02,-93.21,284.26,7.2
78,Esperance,90,AU,1583046663,63,-33.87,121.9,292.15,10.8
79,Aasiaat,100,GL,1583046793,98,68.71,-52.87,246.58,1.81
80,Bredasdorp,35,ZA,1583046793,82,-34.53,20.04,293.15,4.1
81,Empório,49,GR,1583046794,58,40.48,21.55,272.15,1.5
82,Takhtamygda,100,RU,1583046794,85,54.1,123.57,265.73,0.53
83,Pevek,100,RU,1583046819,99,69.7,170.31,252.76,2.43
84,Saint Paul Harbor,1,US,1583046556,92,57.79,-152.41,272.15,3.1
85,Coahuayana Viejo,0,MX,1583046819,61,18.73,-103.68,295.29,1.98
86,Basco,49,PH,1583046819,82,20.45,121.97,298.7,7.26
87,Rantauprapat,96,ID,1583046819,54,2.1,99.83,305.57,1.23
88,Alofi,1,NU,1583046820,83,-19.06,-169.92,300.15,2.6
89,Sobolevo,94,RU,1583046820,71,54.43,31.9,273.77,7.95
90,Husavik,40,IS,1583046820,79,66.04,-17.34,273.15,3.1
91,Kapaa,75,US,1583046820,73,22.08,-159.32,296.15,11.8
92,Muzhi,98,RU,1583046821,82,65.37,64.67,270.92,9.06
93,Tuktoyaktuk,20,CA,1583046821,73,69.45,-133.04,239.15,2.6
94,Mikhaylovskoye,91,RU,1583046821,83,51.82,79.72,271.49,4.39
95,Tessalit,0,ML,1583046821,10,20.2,1.01,292.41,5.04
96,Hithadhoo,33,MV,1583046822,77,-0.6,73.08,301.32,5.66
97,Pasca,20,CO,1583046822,93,4.31,-74.3,283.15,1.5
98,Guerrero Negro,97,MX,1583046822,64,27.98,-114.06,289.32,4.6
99,Mapastepec,0,MX,1583046822,56,15.43,-92.9,295.18,2.75
100,Russell,1,US,1583046822,74,32.35,-85.2,279.15,0.23
101,Nome,1,US,1583046823,51,64.5,-165.41,261.15,7.7
102,Concord,75,US,1583046697,66,37.98,-122.03,284.26,9.8
103,Boa Vista,72,BR,1583046823,65,2.82,-60.67,300.15,5.7
104,Narsaq,0,GL,1583046824,40,60.92,-46.05,255.15,2.1
105,Cap Malheureux,75,MU,1583046824,83,-19.98,57.61,302.15,3.6
106,Acarí,100,PE,1583046824,84,-15.43,-74.62,292.94,1.36
107,Wangqing,100,CN,1583046824,79,43.32,129.76,269.63,2.12
108,Kirkland Lake,1,CA,1583046825,75,48.14,-80.04,248.15,1.48
109,Misasi,75,TZ,1583046825,94,-3.0,33.08,296.15,2.6
110,Chapais,75,CA,1583046825,91,49.78,-74.85,255.15,1.0
111,Zhob,0,PK,1583046825,51,31.34,69.45,286.56,2.98
112,Walvis Bay,90,NA,1583046826,77,-22.96,14.51,294.15,1.5
113,Caravelas,38,BR,1583046826,78,-17.71,-39.25,300.09,2.01
114,Lata,75,PT,1583046826,93,40.16,-8.33,288.15,5.7
115,Port Antonio,20,JM,1583046826,78,18.18,-76.46,298.15,3.1
116,Rio Grande,0,BR,1583046827,93,-32.03,-52.1,289.82,3.92
117,Bosaso,0,SO,1583046827,78,11.28,49.18,299.15,3.71
118,Qandala,22,SO,1583046827,40,11.47,49.87,300.25,1.35
119,Sinnamary,27,GF,1583046827,83,5.38,-52.95,298.84,6.79
120,Province of Mantua,90,IT,1583046828,100,45.17,10.78,280.37,2.6
121,Adré,0,TD,1583046828,14,13.47,22.2,293.94,9.48
122,Ziarat,0,PK,1583046828,42,30.38,67.73,281.39,2.28
123,Kutum,0,SD,1583046828,17,14.2,24.67,290.63,3.9
124,Poum,78,NC,1583046828,82,-20.23,164.02,301.61,6.19
125,Marrakesh,62,MA,1583046773,87,31.63,-8.01,284.15,3.1
126,Isoka,100,ZM,1583046829,97,-10.16,32.63,290.57,1.71
127,Erzin,20,TR,1583046829,93,36.96,36.2,286.48,2.1
128,Atar,0,MR,1583046830,14,20.52,-13.05,292.09,3.8
129,Puyang,100,CN,1583046830,95,29.46,119.89,287.04,2.11
130,Kashgar,12,CN,1583046830,25,39.45,75.98,283.15,3.0
131,Provideniya,0,RU,1583046830,86,64.38,-173.3,253.02,6.26
132,Lagoa,98,PT,1583046831,82,39.05,-27.98,289.72,12.6
133,Khovd,0,MN,1583046831,30,48.01,91.64,271.57,2.53
134,San Quintín,100,MX,1583046831,85,30.48,-115.95,287.54,2.61
135,Ponta do Sol,20,PT,1583046832,77,32.67,-17.1,289.15,1.5
136,Talnakh,99,RU,1583046832,85,69.49,88.4,261.15,15.0
137,Gonzales,1,US,1583046832,93,30.24,-90.92,284.82,2.75
138,Tai’an,22,CN,1583046832,49,36.19,117.12,286.48,5.06
139,Airai,93,TL,1583046832,61,-8.93,125.41,301.07,1.52
140,Strathmore,90,CA,1583046833,79,51.05,-113.39,269.82,7.2
141,Norman Wells,5,CA,1583046833,74,65.28,-126.83,240.15,1.0
142,Ballitoville,25,ZA,1583046833,64,-29.54,31.21,296.48,5.7
143,Chimoio,79,MZ,1583046833,79,-19.12,33.48,292.89,5.5
144,Kōriyama,20,JP,1583046674,45,37.4,140.38,282.15,8.2
145,San Cristobal,73,VE,1583046834,94,7.77,-72.22,284.86,0.67
146,Naberera,100,TZ,1583046834,85,-4.2,36.93,294.26,1.33
147,Darhan,100,MN,1583046834,78,49.49,105.92,265.72,2.5
148,Jamestown,75,US,1583046834,85,42.1,-79.24,272.15,5.1
149,Brodokalmak,40,RU,1583046835,69,55.57,62.08,275.15,3.0
150,Mataram,75,ID,1583046835,94,-8.58,116.12,300.15,3.1
151,Faanui,100,PF,1583046835,88,-16.48,-151.75,299.72,16.21
152,Saint-Philippe,27,RE,1583046835,70,-21.36,55.77,303.15,3.1
153,Portland,40,US,1583046721,80,45.52,-122.68,276.15,1.5
154,Thompson,90,CA,1583046836,92,55.74,-97.86,266.15,2.6
155,Hjelset,100,NO,1583046836,69,62.78,7.48,274.82,11.3
156,Qaanaaq,0,GL,1583046837,66,77.48,-69.36,241.19,2.38
157,Mamakan,100,RU,1583046838,86,57.82,114.0,263.59,1.03
158,Peniche,75,PT,1583046838,93,39.36,-9.38,288.15,5.1
159,Batemans Bay,50,AU,1583046838,85,-35.72,150.18,303.15,4.47
160,Slave Lake,90,CA,1583046838,92,55.28,-114.77,264.15,6.2
161,Kavieng,76,PG,1583046839,67,-2.57,150.8,302.84,0.56
162,Wewak,99,PG,1583046839,87,-3.55,143.63,298.92,4.99
163,Obo,0,CF,1583046839,16,5.4,26.49,300.8,4.54
164,Constitución,0,CL,1583046839,90,-35.33,-72.42,285.44,0.9
165,Bambous Virieux,75,MU,1583046839,83,-20.34,57.76,302.15,3.6
166,Dvurechensk,20,RU,1583046840,69,56.6,61.1,274.15,6.0
167,Fortuna,90,US,1583046840,87,40.6,-124.16,280.37,1.68
168,Pueblo Bello,70,CO,1583046840,96,8.2,-76.53,295.05,0.91
169,Birjand,0,IR,1583046840,21,32.87,59.22,290.15,1.88
170,Mossamedes,6,AO,1583046841,76,-15.2,12.15,296.14,1.14
171,Avera,1,US,1583046841,100,33.19,-82.53,277.04,1.5
172,Iqaluit,20,CA,1583046841,68,63.75,-68.51,244.26,4.1
173,Susanville,90,US,1583046841,68,40.42,-120.65,273.15,0.9
174,Humberto de Campos,100,BR,1583046665,91,-2.6,-43.46,297.86,0.34
175,Hamilton,1,US,1583046842,85,39.18,-84.53,270.93,2.09
176,Rønne,20,DK,1583046842,86,55.1,14.71,278.15,7.7
177,Ilhabela,100,BR,1583046843,91,-23.78,-45.36,296.57,9.32
178,Sechura,70,PE,1583046843,87,-5.56,-80.82,297.42,4.43
179,Cherskiy,2,RU,1583046843,94,68.75,161.3,252.8,2.63
180,Três Pontas,41,BR,1583046843,97,-21.37,-45.51,290.58,1.72
181,Lüderitz,49,NA,1583046843,93,-26.65,15.16,292.15,5.1
182,Geraldton,0,AU,1583046844,24,-28.77,114.6,307.15,9.8
183,Banda Aceh,50,ID,1583046767,50,5.56,95.32,306.13,4.26
184,Souillac,75,MU,1583046844,83,-20.52,57.52,302.15,3.6
185,Rome,90,US,1583046066,78,43.21,-75.46,266.48,1.5
186,Kabanjahe,40,ID,1583046845,66,3.1,98.49,304.15,4.1
187,Santa Cruz de La Palma,20,ES,1583046845,82,28.68,-17.76,290.15,4.6
188,Marsá Maţrūḩ,40,EG,1583046845,71,31.35,27.25,284.15,2.6
189,Porto Walter,85,BR,1583046666,97,-8.27,-72.74,295.56,0.69
190,Jaru,100,BR,1583046846,99,-10.44,-62.47,295.02,0.8
191,Carballo,20,ES,1583046846,76,43.21,-8.69,286.48,5.7
192,Saskylakh,77,RU,1583046847,90,71.92,114.08,256.73,6.0
193,Sola,75,VU,1583046847,89,-13.88,167.55,302.15,3.48
194,Praia da Vitória,40,PT,1583046847,87,38.73,-27.07,288.15,12.26
195,Laas,90,IT,1583046847,100,46.62,10.7,277.15,2.07
196,Diapaga,13,BF,1583046848,14,12.07,1.79,296.4,2.36
197,Mehamn,100,NO,1583046848,81,71.04,27.85,267.5,4.11
198,Caucaia,40,BR,1583046848,83,-3.74,-38.65,299.15,2.1
199,Quatre Cocos,75,MU,1583046848,83,-20.21,57.76,302.15,3.6
200,Haines Junction,100,CA,1583046849,97,60.75,-137.51,261.18,5.45
201,Bairiki Village,75,KI,1583046849,88,1.33,172.98,300.15,4.1
202,Krasne,100,UA,1583046849,60,49.91,24.61,277.15,3.0
203,Korla,4,CN,1583046849,46,41.76,86.15,274.69,1.51
204,Atuona,31,PF,1583046850,77,-9.8,-139.03,301.11,7.68
205,Mormugao,45,IN,1583046850,27,15.4,73.8,310.36,2.61
206,Vallenar,0,CL,1583046850,89,-28.57,-70.76,287.07,0.49
207,Tra Vinh,45,VN,1583046605,47,9.93,106.35,305.93,5.24
208,Port Keats,100,AU,1583046851,62,-14.25,129.55,305.23,4.62
209,Toyooka,75,JP,1583046851,66,35.53,134.83,284.15,5.1
210,Boyabat,40,TR,1583046851,93,41.47,34.77,278.15,1.0
211,Villanueva,90,HN,1583046831,100,15.32,-88.0,291.15,1.5
212,Pangnirtung,50,CA,1583046852,90,66.15,-65.71,244.1,1.23
213,Yar-Sale,100,RU,1583046852,88,66.83,70.83,271.22,10.99
214,Broome,90,US,1583046852,85,42.25,-75.83,267.59,7.7
215,Nanortalik,0,GL,1583046852,64,60.14,-45.24,263.01,7.16
216,Tiksi,43,RU,1583046853,84,71.69,128.87,255.21,4.09
217,Atbasar,100,KZ,1583046853,81,51.8,68.33,270.09,4.39
218,Kloulklubed,75,PW,1583046853,70,7.04,134.26,302.15,5.1
219,Wasilla,90,US,1583046853,62,61.58,-149.44,267.15,8.7
220,Maumelle,90,US,1583046640,58,34.87,-92.4,285.37,2.1
221,Hofn,100,IS,1583046854,67,64.25,-15.21,277.55,20.36
222,Ukiah,1,US,1583046854,75,39.15,-123.21,281.48,2.05
223,Japura,99,ID,1583046854,42,-0.32,102.35,307.34,1.74
224,Longyearbyen,20,SJ,1583046854,59,78.22,15.64,256.15,4.1
225,Savannah Bight,100,HN,1583046855,76,16.45,-85.85,297.35,10.8
226,Upernavik,80,GL,1583046855,88,72.79,-56.15,241.01,1.4
227,Ancud,0,CL,1583046855,77,-41.87,-73.82,288.15,5.1
228,Redlands,90,US,1583046656,66,34.06,-117.18,287.59,1.5
229,Ternate,74,ID,1583046856,86,0.8,127.4,300.9,1.74
230,Port Macquarie,13,AU,1583046856,61,-31.43,152.92,302.04,7.7
231,Ilo,82,PE,1583046856,87,-17.64,-71.34,295.7,0.67
232,Charagua,9,BO,1583046665,42,-19.8,-63.22,295.87,2.76
233,Rāwah,0,IQ,1583046857,49,34.48,41.91,285.88,7.18
234,Tilichiki,0,RU,1583046857,86,60.47,166.1,254.1,3.68
235,Rocha,26,UY,1583046857,96,-34.48,-54.33,290.29,2.8
236,Naze,75,JP,1583046857,93,28.37,129.48,293.15,4.6
237,Yellowknife,20,CA,1583046848,74,62.46,-114.35,245.37,2.6
238,Caicó,55,BR,1583046769,82,-6.46,-37.1,298.31,2.38
239,Tasiilaq,100,GL,1583046858,92,65.61,-37.64,264.15,0.5
240,Xingyi,0,CN,1583046858,26,24.19,102.82,297.08,5.46
241,Grindavik,100,IS,1583046858,64,63.84,-22.43,275.15,9.8
242,Nāttarasankottai,100,IN,1583046859,41,9.87,78.57,303.95,4.22
243,São João da Barra,100,BR,1583046673,93,-21.64,-41.05,296.51,0.68
244,Kiunga,100,PG,1583046859,64,-6.12,141.29,303.19,0.83
245,Manoel Urbano,97,BR,1583046859,97,-8.84,-69.26,294.8,0.73
246,Wakkanai,75,JP,1583046859,73,45.41,141.67,268.15,8.2
247,Kodinsk,92,RU,1583046860,87,58.69,99.18,264.89,2.63
248,Yulara,100,AU,1583046860,28,-25.24,130.99,308.15,7.2
249,Tadine,94,NC,1583046860,82,-21.55,167.88,300.17,4.24
250,Springbok,2,ZA,1583046860,41,-29.66,17.89,297.15,2.6
251,Bosconia,2,CO,1583046860,61,9.97,-73.88,297.97,1.49
252,Porangatu,100,BR,1583046861,97,-13.44,-49.15,295.12,1.44
253,Norsup,75,VU,1583046861,83,-16.07,167.38,302.15,2.1
254,Khatanga,89,RU,1583046861,93,71.97,102.5,256.64,5.54
255,Chui,0,UY,1583046861,88,-33.7,-53.46,291.78,1.97
256,East London,0,ZA,1583046745,64,-33.02,27.91,296.15,4.6
257,Cayenne,20,GF,1583046862,83,4.93,-52.33,298.15,2.6
258,Manado,75,ID,1583046862,100,1.49,124.85,298.15,2.1
259,Vao,78,NC,1583046862,84,-22.67,167.48,300.0,6.06
260,Erie,90,US,1583046862,73,42.77,-78.67,268.71,3.6
261,Arraial do Cabo,95,BR,1583046863,92,-22.97,-42.03,296.59,5.46
262,Vredendal,54,ZA,1583046863,53,-31.67,18.5,296.98,2.08
263,Mitú,57,CO,1583046794,96,1.2,-70.17,295.12,0.83
264,Penzance,95,GB,1583046863,75,50.12,-5.54,280.37,7.7
265,Umm Kaddadah,22,SD,1583046864,14,13.6,26.69,293.96,9.93
266,Matagami,1,CA,1583046864,82,49.75,-77.63,246.15,0.97
267,Severo-Kuril'sk,96,RU,1583046864,89,50.68,156.12,268.76,0.72
268,Dunedin,15,NZ,1583046782,77,-45.87,170.5,288.71,8.03
269,Laguna de Duero,90,ES,1583046864,93,41.58,-4.72,280.93,8.7
